"username","anime_id","my_watched_episodes","my_start_date","my_finish_date","my_score","my_status","my_rewatching","my_rewatching_ep","my_last_updated","my_tags"
"MistButterfly",36494,4,"0000-00-00","0000-00-00",7,2,0,0,1507046123,""
"MistButterfly",33197,12,"0000-00-00","0000-00-00",5,2,0,0,1482590588,""
"iLLMaTiCc",6114,0,"0000-00-00","0000-00-00",0,6,0,0,1375491026,""
"kioniel",226,13,"0000-00-00","0000-00-00",10,2,0,0,1233243209,""
"MistButterfly",34252,1,"0000-00-00","0000-00-00",5,2,0,0,1485276378,""
"ProperBritish",9911,4,"2011-02-03","0000-00-00",6,2,NA,0,1296777655,"magical girls"
"iLLMaTiCc",7054,26,"0000-00-00","0000-00-00",8,2,0,0,1365094572,""
"ProperBritish",27775,13,"0000-00-00","2015-07-02",9,2,0,0,1435795345,""
"Not_Rijad",9989,11,"0000-00-00","2016-06-25",9,2,0,0,1466877134,""
"cfoordddd",7768,0,"0000-00-00","0000-00-00",0,6,NA,0,1347290051,""
"helenply",4896,26,"0000-00-00","0000-00-00",8,2,0,0,1367857362,""
"helenply",861,0,"0000-00-00","0000-00-00",0,6,0,0,1458185356,""
"Xinil",2404,0,"0000-00-00","0000-00-00",0,6,0,0,1184785994,""
"helenply",23283,11,"0000-00-00","0000-00-00",9,2,0,0,1481234713,""
"hood_rad",28223,12,"0000-00-00","0000-00-00",0,2,0,0,1503348261,""
"Xinil",393,1,"2003-02-04","2003-02-04",9,2,0,0,0,"fantasy, mecha"
"Xinil",137,8,"2003-02-26","2003-03-02",9,2,0,0,0,"action, super-power, shounen"
"Xinil",290,13,"2004-01-08","2004-01-12",8,2,0,0,0,""
"cfoordddd",10457,2,"0000-00-00","2012-08-02",4,2,0,0,1343929840,"H"
"cfoordddd",5337,52,"0000-00-00","2011-04-22",7,2,0,0,1303497612,"English"
"hood_rad",12467,13,"0000-00-00","0000-00-00",0,2,0,0,1437171543,""
"cfoordddd",9362,6,"0000-00-00","0000-00-00",10,2,NA,0,1318328842,"Owned, Favourite"
"cfoordddd",14967,0,"0000-00-00","0000-00-00",0,6,NA,0,1367072104,"NTD"
"cfoordddd",1575,0,"0000-00-00","0000-00-00",0,6,0,0,1213100982,""
"cfoordddd",8424,12,"0000-00-00","2011-04-22",10,2,NA,0,1303497545,"Owned, Favourite"
"hood_rad",3299,0,"0000-00-00","0000-00-00",0,6,0,0,1429132556,""
"hood_rad",158,0,"0000-00-00","0000-00-00",0,6,0,0,1429838280,""
"hood_rad",25517,24,"0000-00-00","0000-00-00",0,2,0,0,1458182553,""
"cfoordddd",141,0,"0000-00-00","0000-00-00",0,6,0,0,1212838731,""
"ihasabucket",486,13,"0000-00-00","0000-00-00",8,2,0,0,1206082677,""
"YunYun_Pachina",372,1,"2008-11-19","2008-11-19",5,2,NA,0,1260933543,""
"hood_rad",34240,1,"0000-00-00","0000-00-00",0,2,0,0,1477520255,""
"sweetangie",10162,11,"0000-00-00","2011-09-16",9,2,0,0,1316219165,""
"xTheFallenx",2966,13,"0000-00-00","0000-00-00",8,2,0,0,1276453249,""
"sweetangie",31553,1,"0000-00-00","0000-00-00",7,2,0,0,1459406018,""
"sweetangie",33352,13,"0000-00-00","0000-00-00",8,2,0,0,1523708653,""
"sweetangie",779,1,"0000-00-00","0000-00-00",8,2,0,0,1371942516,""
"sweetangie",34984,12,"0000-00-00","2018-03-29",10,2,0,0,1522387262,"TACHIBANA X KONDO <3"
"xTheFallenx",30,26,"0000-00-00","0000-00-00",9,2,0,0,1313287024,""
"xTheFallenx",3167,6,"0000-00-00","2010-10-09",10,2,NA,0,1286636889,""
"YunYun_Pachina",6864,2,"2013-05-28","2013-05-28",8,2,NA,0,1369731112,""
"ihasabucket",6746,11,"0000-00-00","0000-00-00",0,1,0,0,1269989241,""
"xTheFallenx",10711,12,"0000-00-00","0000-00-00",9,2,0,0,1367081686,""
"sweetangie",1563,29,"0000-00-00","0000-00-00",9,2,0,0,1303460518,""
"YunYun_Pachina",16,0,"0000-00-00","0000-00-00",0,6,NA,0,1369206862,""
"YunYun_Pachina",13373,1,"2013-00-00","2013-00-00",0,2,NA,0,1368688167,""
"sweetangie",22789,12,"0000-00-00","0000-00-00",4,4,0,0,1460190842,""
"YunYun_Pachina",1813,3,"2017-10-14","2017-10-14",8,2,0,0,1508049997,""
"sweetangie",23283,11,"0000-00-00","0000-00-00",7,2,0,0,1494665732,""
